variable,dataset_name,source_org,raw_file,raw_indicator_name,transform_note,key,sub_source_note
Subbituminous production (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous production (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous production (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous production (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous production (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous production (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Tide and wave electricity installed capacity (million kilowatts),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Tide and wave electricity installed capacity (million kilowatts),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Tide and wave electricity net generation (billion kilowatthours),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Tide and wave electricity net generation (billion kilowatthours),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Tide and wave electricity net generation (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Tide and wave electricity net generation (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Tide and wave electricity net generation (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Tide and wave electricity net generation (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Tide and wave electricity net generation (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Tide and wave electricity net generation (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Total energy consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Total energy consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Total energy consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Total energy consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
